,loss
0,0.5422257
1,0.53591937
2,0.53019035
3,0.52503365
4,0.52043706
5,0.5163838
6,0.51285756
7,0.50984156
8,0.50731736
9,0.5052635
10,0.50365436
11,0.5024591
12,0.5016404
13,0.5011535
14,0.5009459
15,0.50095844
16,0.50112766
17,0.5013901
18,0.5016874
19,0.5019697
20,0.5021993
21,0.5023515
22,0.50241536
23,0.5023908
24,0.5022877
25,0.5021215
26,0.50191146
27,0.5016774
28,0.5014378
29,0.5012086
30,0.50100225
31,0.5008274
32,0.50068825
33,0.5005864
34,0.5005198
35,0.5004846
36,0.5004752
37,0.5004854
38,0.50050867
39,0.50053877
40,0.50057054
41,0.5005995
42,0.5006224
43,0.50063705
44,0.5006426
45,0.50063896
46,0.500627
47,0.5006081
48,0.50058395
49,0.50055665
50,0.5005283
51,0.5005004
52,0.5004749
53,0.50045264
54,0.5004343
55,0.5004204
56,0.5004108
57,0.50040513
58,0.50040257
59,0.50040233
60,0.50040364
61,0.50040555
62,0.5004073
63,0.50040835
64,0.50040823
65,0.5004069
66,0.50040424
67,0.5004004
68,0.5003957
69,0.5003903
70,0.5003846
71,0.50037915
72,0.50037384
73,0.5003691
74,0.50036496
75,0.5003615
76,0.50035864
77,0.50035644
78,0.5003545
79,0.500353
80,0.5003515
81,0.50035006
82,0.5003485
83,0.5003469
84,0.500345
85,0.5003429
86,0.5003406
87,0.5003382
88,0.5003358
89,0.50033325
90,0.5003308
91,0.5003285
92,0.5003262
93,0.500324
94,0.50032204
95,0.50032014
96,0.50031835
97,0.50031656
98,0.5003149
99,0.5003133
100,0.50031155
101,0.50030994
102,0.5003082
103,0.5003065
104,0.50030476
105,0.5003031
106,0.5003013
107,0.5002997
108,0.5002979
109,0.50029624
110,0.5002945
111,0.50029296
112,0.50029135
113,0.5002898
114,0.5002883
115,0.5002869
116,0.5002853
117,0.5002839
118,0.50028247
119,0.50028104
120,0.50027955
121,0.5002781
122,0.50027674
123,0.5002754
124,0.50027394
125,0.5002726
126,0.50027126
127,0.50026995
128,0.5002686
129,0.5002673
130,0.50026596
131,0.5002647
132,0.5002635
133,0.50026226
134,0.50026107
