,loss
0,0.50066286
1,0.52920157
2,0.50256175
3,0.50163645
4,0.5052623
5,0.5040159
6,0.5011716
7,0.50030863
8,0.5019036
9,0.502499
10,0.5013819
11,0.5003685
12,0.50032115
13,0.5008688
14,0.5012787
15,0.50120425
16,0.5008011
17,0.500393
18,0.5001969
19,0.50024474
20,0.5004189
21,0.50054824
22,0.5005324
23,0.5003993
24,0.5002525
25,0.5001792
26,0.50020087
27,0.50027764
28,0.5003438
29,0.5003536
30,0.50030565
31,0.5002348
32,0.50018185
33,0.5001687
34,0.50019026
35,0.5002241
36,0.5002456
37,0.50024253
38,0.5002193
39,0.5001906
40,0.5001716
41,0.50016874
42,0.5001791
43,0.5001932
44,0.50020146
45,0.5001996
46,0.50018954
47,0.50017715
48,0.5001688
49,0.50016737
50,0.5001718
51,0.50017774
52,0.5001814
53,0.50018054
54,0.5001761
55,0.50017065
56,0.5001673
57,0.50016695
58,0.5001691
59,0.5001719
60,0.50017333
61,0.50017273
62,0.50017065
63,0.50016826
64,0.50016683
65,0.5001669
66,0.50016797
67,0.50016916
68,0.50016963
69,0.5001691
70,0.500168
71,0.500167
72,0.5001666
73,0.50016683
74,0.50016737
75,0.50016785
76,0.50016785
77,0.50016755
78,0.50016695
79,0.5001666
80,0.50016654
81,0.5001668
82,0.500167
83,0.5001672
84,0.5001671
85,0.50016683
86,0.50016654
87,0.5001666
88,0.50016654
89,0.5001667
90,0.5001668
91,0.5001668
92,0.50016665
93,0.50016654
94,0.5001665
95,0.50016654
96,0.5001666
97,0.5001666
98,0.5001666
99,0.50016654
100,0.5001665
101,0.50016654
102,0.5001665
103,0.50016654
104,0.50016654
105,0.50016654
106,0.50016654
107,0.5001665
108,0.5001665
109,0.5001665
110,0.5001665
111,0.50016654
112,0.5001665
113,0.5001665
114,0.5001665
115,0.5001665
116,0.5001665
117,0.5001665
118,0.5001665
119,0.5001665
120,0.5001664
121,0.5001664
122,0.5001664
123,0.5001664
124,0.5001664
125,0.5001664
126,0.5001664
127,0.5001664
128,0.5001664
129,0.5001664
130,0.5001664
131,0.5001664
132,0.5001664
133,0.5001664
134,0.5001664
135,0.5001664
136,0.5001664
137,0.5001664
138,0.5001664
139,0.5001664
140,0.5001664
141,0.5001664
142,0.5001664
143,0.5001664
144,0.5001664
145,0.5001664
146,0.5001664
147,0.5001664
148,0.5001664
149,0.5001664
150,0.5001664
151,0.5001664
152,0.5001664
153,0.5001664
154,0.50016636
155,0.50016636
156,0.5001664
157,0.50016636
158,0.50016636
159,0.50016636
160,0.50016636
161,0.50016636
162,0.50016636
163,0.50016636
164,0.50016636
165,0.50016636
166,0.50016636
167,0.50016636
168,0.50016636
169,0.50016636
170,0.50016636
171,0.50016636
172,0.50016636
173,0.50016636
174,0.50016636
175,0.50016636
176,0.50016636
177,0.50016636
178,0.50016636
179,0.50016636
180,0.50016636
181,0.50016636
182,0.50016636
183,0.50016636
184,0.50016636
185,0.50016636
186,0.50016636
187,0.50016636
188,0.50016636
189,0.50016636
190,0.50016636
191,0.50016636
192,0.50016636
193,0.50016636
194,0.50016636
195,0.50016636
196,0.50016636
197,0.50016636
198,0.50016636
199,0.50016636
200,0.50016636
201,0.50016636
202,0.50016636
203,0.50016636
204,0.50016636
205,0.50016636
206,0.50016636
207,0.50016636
208,0.50016636
209,0.50016636
210,0.50016636
211,0.50016636
212,0.50016636
213,0.50016636
214,0.50016636
215,0.5001663
216,0.50016636
217,0.50016636
218,0.50016636
219,0.50016636
220,0.50016624
221,0.50016624
222,0.5001663
223,0.50016636
224,0.50016636
225,0.50016624
226,0.50016624
227,0.50016624
228,0.50016636
229,0.50016624
230,0.50016624
231,0.50016624
232,0.5001663
233,0.50016624
234,0.50016624
235,0.50016624
236,0.5001663
237,0.50016624
238,0.50016624
239,0.50016624
240,0.50016624
241,0.50016624
242,0.50016624
243,0.50016624
244,0.50016624
245,0.50016624
246,0.50016624
247,0.50016624
248,0.50016624
249,0.50016624
250,0.50016624
251,0.50016624
252,0.50016624
253,0.50016624
254,0.50016624
255,0.50016624
256,0.50016624
257,0.50016624
258,0.50016624
259,0.50016624
260,0.50016624
261,0.50016624
262,0.50016624
263,0.50016624
264,0.50016624
265,0.50016624
266,0.50016624
267,0.50016624
268,0.50016624
269,0.50016624
270,0.50016624
271,0.50016624
272,0.50016624
273,0.50016624
274,0.50016624
275,0.50016624
276,0.50016624
277,0.50016624
278,0.50016624
279,0.50016624
280,0.50016624
281,0.50016624
282,0.50016624
283,0.50016624
284,0.50016624
285,0.50016624
286,0.5001662
287,0.50016624
288,0.50016624
289,0.50016624
290,0.50016624
291,0.50016624
292,0.5001662
293,0.50016624
294,0.50016624
295,0.5001662
296,0.5001662
297,0.50016624
298,0.50016624
299,0.5001662
300,0.5001662
301,0.5001662
302,0.50016624
303,0.5001662
304,0.5001662
305,0.5001662
306,0.5001662
307,0.5001662
308,0.5001662
309,0.5001662
310,0.5001662
311,0.5001662
312,0.5001662
313,0.5001662
314,0.5001661
315,0.5001661
316,0.5001661
317,0.5001662
318,0.5001661
319,0.5001661
320,0.5001661
321,0.5001662
322,0.5001661
323,0.5001661
324,0.5001661
325,0.5001661
326,0.5001661
327,0.5001661
328,0.5001662
329,0.5001661
330,0.5001662
331,0.50016606
332,0.5001661
333,0.5001661
334,0.5001661
335,0.50016606
336,0.50016606
337,0.5001661
338,0.50016606
339,0.50016606
340,0.50016606
341,0.50016606
342,0.5001661
343,0.50016606
344,0.5001661
345,0.50016606
346,0.50016606
347,0.50016606
348,0.5001661
349,0.50016606
350,0.50016606
351,0.50016606
352,0.50016606
353,0.50016606
354,0.50016606
355,0.50016606
356,0.50016606
357,0.50016606
358,0.50016606
359,0.50016606
360,0.50016606
361,0.50016606
362,0.50016606
363,0.500166
364,0.500166
365,0.500166
366,0.50016606
367,0.50016606
368,0.50016606
369,0.500166
370,0.50016606
371,0.500166
372,0.500166
373,0.50016606
374,0.500166
375,0.500166
376,0.500166
377,0.500166
378,0.500166
379,0.500166
380,0.500166
381,0.500166
382,0.500166
383,0.500166
384,0.500166
385,0.500166
386,0.500166
387,0.500166
388,0.500166
389,0.500166
390,0.500166
391,0.500166
392,0.500166
393,0.50016594
394,0.500166
395,0.500166
396,0.50016594
397,0.50016594
398,0.50016594
399,0.50016594
400,0.50016594
401,0.50016594
402,0.50016594
403,0.5001659
404,0.50016594
405,0.50016594
406,0.50016594
407,0.5001659
408,0.5001659
409,0.50016594
410,0.50016594
411,0.5001659
412,0.50016594
413,0.50016594
414,0.5001659
415,0.5001659
416,0.5001659
417,0.5001659
418,0.5001659
419,0.5001659
420,0.5001659
421,0.5001659
422,0.5001659
423,0.5001659
424,0.5001659
425,0.5001659
426,0.5001659
427,0.5001659
428,0.5001659
429,0.5001659
430,0.5001659
431,0.5001659
432,0.5001659
433,0.5001659
434,0.5001659
435,0.5001659
436,0.5001659
437,0.5001659
438,0.5001659
439,0.5001659
440,0.5001659
441,0.5001659
442,0.5001659
443,0.5001659
444,0.5001659
445,0.5001659
446,0.5001659
447,0.5001659
448,0.5001659
449,0.5001658
450,0.5001658
451,0.50016576
452,0.50016576
453,0.50016576
454,0.50016576
455,0.50016576
456,0.5001658
457,0.50016576
458,0.50016576
459,0.50016576
460,0.50016576
461,0.50016576
462,0.5001658
463,0.50016576
464,0.50016576
465,0.50016576
466,0.50016576
467,0.50016576
468,0.50016576
469,0.50016576
470,0.50016576
471,0.50016576
472,0.50016576
473,0.50016576
474,0.50016576
475,0.50016576
476,0.50016576
477,0.5001657
478,0.5001657
479,0.5001657
480,0.50016576
481,0.5001657
482,0.5001657
483,0.5001657
484,0.5001657
485,0.5001657
486,0.5001657
487,0.50016576
488,0.5001657
489,0.5001657
490,0.5001657
491,0.5001657
492,0.5001657
493,0.5001657
494,0.5001657
495,0.5001657
496,0.50016564
497,0.5001656
498,0.50016564
499,0.50016564
500,0.50016564
501,0.5001656
502,0.50016564
503,0.5001656
504,0.50016564
