,loss
0,0.51031345
1,0.50034463
2,0.5039422
3,0.5043653
4,0.5019098
5,0.50037235
6,0.500431
7,0.50116277
8,0.5016209
9,0.501501
10,0.5010001
11,0.5004759
12,0.5002158
13,0.50030947
14,0.5005986
15,0.50079685
16,0.5007519
17,0.5005327
18,0.50030416
19,0.500186
20,0.50019974
21,0.50029135
22,0.5003852
23,0.5004266
24,0.5004001
25,0.50032586
26,0.50024223
27,0.5001856
28,0.5001739
29,0.50020057
30,0.5002409
31,0.5002678
32,0.5002662
33,0.50023973
34,0.50020516
35,0.50018007
36,0.50017375
37,0.50018364
38,0.5001997
39,0.50021064
40,0.5002103
41,0.5001993
42,0.50018406
43,0.50017226
44,0.5001687
45,0.5001733
46,0.5001815
47,0.5001875
48,0.50018764
49,0.50018233
50,0.5001748
51,0.50016934
52,0.50016785
53,0.5001702
54,0.50017387
55,0.50017613
56,0.5001758
57,0.50017315
58,0.50017
59,0.500168
60,0.5001681
61,0.50016946
62,0.50017095
63,0.5001714
64,0.50017047
65,0.50016886
66,0.5001676
67,0.50016725
68,0.50016785
69,0.5001687
70,0.50016916
71,0.5001689
72,0.5001682
73,0.5001674
74,0.5001671
75,0.50016725
76,0.50016767
77,0.50016797
78,0.50016785
79,0.50016755
80,0.5001672
81,0.500167
82,0.5001671
83,0.50016725
84,0.50016737
85,0.5001673
86,0.50016713
87,0.50016695
88,0.5001669
89,0.50016695
90,0.500167
91,0.5001671
92,0.500167
93,0.50016695
94,0.50016683
95,0.50016683
96,0.50016683
97,0.5001669
98,0.5001669
99,0.50016683
100,0.50016683
101,0.50016683
102,0.50016683
103,0.5001669
104,0.50016683
105,0.50016683
106,0.50016683
107,0.5001668
108,0.5001668
109,0.5001668
110,0.5001667
111,0.5001668
112,0.5001668
113,0.5001667
114,0.5001667
115,0.5001667
116,0.5001667
117,0.5001667
118,0.50016665
119,0.5001667
120,0.50016665
121,0.50016665
122,0.50016665
123,0.50016665
124,0.50016665
125,0.50016665
126,0.50016665
127,0.50016665
128,0.50016665
129,0.50016665
130,0.50016665
131,0.50016665
132,0.50016665
133,0.50016665
134,0.50016665
135,0.50016665
136,0.50016665
137,0.50016665
138,0.50016665
139,0.50016665
140,0.50016665
141,0.50016665
142,0.50016665
143,0.50016665
144,0.50016665
145,0.50016665
146,0.50016665
147,0.5001666
148,0.5001666
149,0.5001666
150,0.5001666
151,0.5001666
152,0.5001666
153,0.5001666
154,0.5001666
155,0.5001666
156,0.50016654
157,0.5001666
158,0.5001666
159,0.5001666
160,0.5001666
161,0.5001666
162,0.5001666
163,0.5001666
164,0.5001666
165,0.5001665
166,0.5001666
167,0.5001665
168,0.5001665
169,0.5001665
170,0.5001665
171,0.5001665
172,0.5001665
173,0.5001665
174,0.50016654
175,0.50016654
176,0.5001665
