,loss
0,0.59066486
1,0.57904124
2,0.56822443
3,0.5581923
4,0.5489116
5,0.54034704
6,0.53246653
7,0.5252412
8,0.51864123
9,0.5126332
10,0.5071789
11,0.50223565
12,0.49775752
13,0.49369642
14,0.49000323
15,0.4866285
16,0.48352313
17,0.4806389
18,0.47792852
19,0.47534695
20,0.4728522
21,0.47040638
22,0.4679772
23,0.46553865
24,0.46307158
25,0.46056405
26,0.45801038
27,0.45541072
28,0.45277
29,0.4500967
30,0.44740173
31,0.4446971
32,0.4419956
33,0.43930885
34,0.4366472
35,0.43401897
36,0.43142974
37,0.42888263
38,0.4263781
39,0.42391434
40,0.42148772
41,0.4190932
42,0.4167256
43,0.4143798
44,0.41205165
45,0.4097386
46,0.40743995
47,0.4051569
48,0.40289268
49,0.40065163
50,0.3984391
51,0.39626068
52,0.394121
53,0.3920238
54,0.3899711
55,0.387963
56,0.3859977
57,0.38407204
58,0.38218164
59,0.38032192
60,0.37848827
61,0.3766767
62,0.37488422
63,0.3731085
64,0.37134776
65,0.3696006
66,0.36786515
67,0.36613914
68,0.36441937
69,0.3627022
70,0.3609831
71,0.35925782
72,0.35752216
73,0.35577294
74,0.35400766
75,0.35222474
76,0.35042349
77,0.34860376
78,0.34676528
79,0.3449079
80,0.34303117
81,0.34113425
82,0.3392163
83,0.33727658
84,0.33531445
85,0.33332962
86,0.3313222
87,0.3292924
88,0.32724044
89,0.32516664
90,0.32307112
91,0.32095405
92,0.31881562
93,0.3166562
94,0.31447646
95,0.31227762
96,0.31006125
97,0.30782935
98,0.3055843
99,0.3033285
100,0.30106473
101,0.2987957
102,0.29652432
103,0.2942536
104,0.29198644
105,0.2897261
106,0.28747547
107,0.28523743
108,0.28301463
109,0.28080946
110,0.27862406
111,0.27646047
112,0.2743207
113,0.2722065
114,0.27011976
115,0.2680624
116,0.26603612
117,0.26404262
118,0.26208362
119,0.26016065
120,0.25827524
121,0.256429
122,0.25462326
123,0.25285923
124,0.25113806
125,0.24946043
126,0.24782717
127,0.24623871
128,0.24469545
129,0.24319747
130,0.24174477
131,0.24033715
132,0.23897406
133,0.23765497
134,0.23637909
135,0.23514539
136,0.23395288
137,0.23280008
138,0.23168573
139,0.23060818
140,0.22956583
141,0.22855704
142,0.22758006
143,0.22663312
144,0.22571453
145,0.2248226
146,0.22395566
147,0.22311209
148,0.22229041
149,0.22148922
150,0.22070718
151,0.219943
152,0.21919562
153,0.21846402
154,0.21774735
155,0.21704482
156,0.21635573
157,0.21567962
158,0.2150159
159,0.21436422
160,0.21372424
161,0.21309568
162,0.21247827
163,0.21187182
164,0.21127616
165,0.21069115
166,0.21011658
167,0.20955239
168,0.20899835
169,0.20845439
170,0.20792033
171,0.20739599
172,0.20688121
173,0.20637584
174,0.20587963
175,0.20539244
176,0.20491402
177,0.2044442
178,0.20398276
179,0.20352946
180,0.20308411
181,0.20264655
182,0.20221652
183,0.20179385
184,0.20137833
185,0.20096982
186,0.20056812
187,0.2001731
188,0.19978456
189,0.1994024
190,0.19902647
191,0.19865663
192,0.19829279
193,0.19793485
194,0.19758269
195,0.19723617
196,0.19689523
197,0.19655976
198,0.19622971
199,0.19590496
200,0.19558544
201,0.19527104
202,0.19496171
203,0.19465734
204,0.19435786
205,0.19406319
206,0.19377327
207,0.19348797
208,0.19320722
209,0.19293098
210,0.19265914
211,0.1923916
212,0.19212836
213,0.19186929
214,0.19161429
215,0.1913633
216,0.19111629
217,0.19087316
218,0.19063379
219,0.19039822
220,0.19016623
221,0.18993789
222,0.18971302
223,0.18949167
224,0.18927367
225,0.18905903
226,0.1888476
227,0.18863937
228,0.18843429
229,0.18823224
230,0.18803321
231,0.18783711
232,0.18764387
233,0.18745345
234,0.18726574
235,0.18708074
236,0.18689835
237,0.18671857
238,0.18654126
239,0.18636638
240,0.18619388
241,0.1860237
242,0.1858558
243,0.18569013
244,0.18552661
245,0.18536519
246,0.18520583
247,0.18504846
248,0.18489306
249,0.18473952
250,0.18458784
251,0.18443792
252,0.18428977
253,0.1841433
254,0.18399847
255,0.18385525
256,0.18371357
257,0.18357341
258,0.1834347
259,0.1832974
260,0.18316145
261,0.18302685
262,0.18289351
263,0.18276145
264,0.18263054
265,0.18250078
266,0.18237218
267,0.18224463
268,0.1821181
269,0.18199258
270,0.181868
271,0.18174435
272,0.1816216
273,0.18149966
274,0.18137851
275,0.18125817
276,0.18113855
277,0.18101957
278,0.18090129
279,0.18078363
280,0.18066655
281,0.18055001
282,0.180434
283,0.18031844
284,0.18020333
285,0.18008864
286,0.17997429
287,0.17986031
288,0.17974658
289,0.17963313
290,0.17951986
291,0.1794068
292,0.17929386
293,0.17918105
294,0.17906825
295,0.17895553
296,0.17884272
297,0.17872988
298,0.17861691
299,0.17850375
300,0.17839041
301,0.1782768
302,0.17816287
303,0.1780486
304,0.17793387
305,0.17781869
306,0.17770295
307,0.17758663
308,0.17746963
309,0.17735188
310,0.17723334
311,0.17711388
312,0.17699349
313,0.17687203
314,0.17674948
315,0.17662564
316,0.1765005
317,0.17637394
318,0.17624584
319,0.17611611
320,0.17598459
321,0.17585121
322,0.17571579
323,0.17557824
324,0.17543836
325,0.17529602
326,0.17515106
327,0.17500333
328,0.1748526
329,0.17469876
330,0.17454152
331,0.17438072
332,0.17421618
333,0.1740476
334,0.17387483
335,0.17369756
336,0.17351557
337,0.17332858
338,0.17313634
339,0.17293856
340,0.17273495
341,0.17252523
342,0.17230906
343,0.1720862
344,0.17185625
345,0.17161898
346,0.17137405
347,0.1711211
348,0.17085996
349,0.17059016
350,0.17031153
351,0.17002371
352,0.16972648
353,0.1694196
354,0.16910282
355,0.16877593
356,0.16843879
357,0.16809127
358,0.16773325
359,0.16736467
360,0.16698554
361,0.16659589
362,0.16619581
363,0.16578545
364,0.16536501
365,0.1649348
366,0.16449508
367,0.16404629
368,0.16358891
369,0.1631234
370,0.16265036
371,0.16217035
372,0.16168408
373,0.16119225
374,0.16069555
375,0.16019474
376,0.15969056
377,0.15918365
378,0.15867478
379,0.15816456
380,0.15765361
381,0.15714242
382,0.15663141
383,0.15612094
384,0.15561116
385,0.15510221
386,0.15459403
387,0.1540865
388,0.15357938
389,0.15307227
390,0.15256475
391,0.1520563
392,0.15154634
393,0.15103438
394,0.15051979
395,0.15000209
396,0.14948076
397,0.14895543
398,0.14842582
399,0.14789166
400,0.14735278
401,0.14680922
402,0.14626095
403,0.1457081
404,0.14515081
405,0.14458932
406,0.14402379
407,0.14345445
408,0.14288151
409,0.14230518
410,0.14172557
411,0.14114283
412,0.14055705
413,0.13996828
414,0.13937652
415,0.13878183
416,0.13818415
417,0.13758345
418,0.13697971
419,0.1363729
420,0.13576302
421,0.1351501
422,0.13453415
423,0.13391523
424,0.13329345
425,0.13266887
426,0.1320416
427,0.13141179
428,0.13077956
429,0.13014506
430,0.12950842
431,0.12886976
432,0.1282292
433,0.12758686
434,0.12694286
435,0.1262973
436,0.12565032
437,0.12500197
438,0.12435241
439,0.123701744
440,0.12305011
441,0.1223976
442,0.12174444
443,0.121090725
444,0.12043661
445,0.11978224
446,0.11912785
