,loss
400,0.49264362
401,0.4926428
402,0.4926418
403,0.49264082
404,0.49263993
405,0.492639
406,0.49263802
407,0.49263704
408,0.49263602
409,0.4926351
410,0.49263403
411,0.492633
412,0.4926319
413,0.4926309
414,0.49262986
415,0.4926287
416,0.49262765
417,0.49262655
418,0.49262533
419,0.49262425
420,0.4926231
421,0.49262187
422,0.49262068
423,0.49261945
424,0.4926182
425,0.49261695
426,0.49261573
427,0.49261433
428,0.49261305
429,0.4926117
430,0.49261037
431,0.49260888
432,0.4926075
433,0.49260604
434,0.4926046
435,0.49260315
436,0.49260157
437,0.49260008
438,0.49259847
439,0.49259692
440,0.4925953
441,0.4925936
442,0.4925919
443,0.49259016
444,0.49258843
445,0.49258664
446,0.4925848
447,0.49258298
448,0.492581
449,0.49257907
450,0.49257708
451,0.492575
452,0.49257296
453,0.49257085
454,0.49256864
455,0.4925664
456,0.49256417
457,0.49256185
458,0.4925594
459,0.49255693
460,0.4925545
461,0.4925519
462,0.49254924
463,0.4925465
464,0.4925437
465,0.4925409
466,0.49253798
467,0.4925349
468,0.49253178
469,0.49252853
470,0.4925252
471,0.49252182
472,0.49251828
473,0.49251464
474,0.49251086
475,0.492507
476,0.49250302
477,0.49249887
478,0.49249455
479,0.4924901
480,0.49248543
481,0.49248067
482,0.49247575
483,0.49247053
484,0.49246508
485,0.4924595
486,0.49245366
487,0.49244758
488,0.4924412
489,0.49243456
490,0.49242753
491,0.4924203
492,0.49241257
493,0.49240455
494,0.49239612
495,0.49238724
496,0.49237785
497,0.49236795
498,0.49235755
499,0.49234647
500,0.49233475
501,0.49232236
502,0.4923091
503,0.49229506
504,0.4922801
505,0.49226403
506,0.49224687
507,0.4922285
508,0.49220878
509,0.4921875
510,0.49216458
511,0.49213982
512,0.492113
513,0.4920839
514,0.49205217
515,0.49201766
516,0.49197993
517,0.49193868
518,0.49189344
519,0.49184364
520,0.49178898
521,0.4917287
522,0.4916621
523,0.4915886
524,0.49150723
525,0.4914172
526,0.49131754
527,0.49120727
528,0.49108508
529,0.49094996
530,0.49080062
531,0.4906358
532,0.49045426
533,0.49025464
534,0.4900359
535,0.48979685
536,0.4895366
537,0.4892544
538,0.48894987
539,0.48862284
540,0.4882738
541,0.48790333
542,0.48751277
543,0.48710397
544,0.48667905
545,0.48624113
546,0.48579326
547,0.48533934
548,0.48488325
549,0.48442945
550,0.4839821
551,0.48354557
552,0.48312393
553,0.48272127
554,0.4823407
555,0.48198527
556,0.48165727
557,0.4813583
558,0.48108888
559,0.4808491
560,0.4806379
561,0.48045352
562,0.48029342
563,0.48015457
564,0.4800336
565,0.47992697
566,0.4798313
567,0.4797437
568,0.4796617
569,0.4795833
570,0.47950703
571,0.47943196
572,0.47935727
573,0.4792826
574,0.4792077
575,0.47913235
576,0.4790564
577,0.4789797
578,0.47890198
579,0.47882316
580,0.478743
581,0.47866133
582,0.4785782
583,0.47849342
584,0.47840685
585,0.47831845
586,0.47822794
587,0.47813526
588,0.47804
589,0.47794205
590,0.477841
591,0.4777369
592,0.47762963
593,0.47751915
594,0.4774056
595,0.47728893
596,0.47716922
597,0.4770467
598,0.47692135
599,0.4767933
600,0.47666267
601,0.47652954
602,0.47639406
603,0.47625628
604,0.47611636
605,0.47597462
606,0.4758312
607,0.47568637
608,0.47554046
609,0.47539383
610,0.47524688
611,0.47509977
612,0.47495297
613,0.47480664
614,0.47466108
615,0.47451648
616,0.4743731
617,0.474231
618,0.47409043
619,0.473952
620,0.47381756
621,0.47370142
622,0.4736381
623,0.47360918
624,0.4733996
625,0.47324246
626,0.47324184
627,0.47304496
628,0.47298184
629,0.47289485
630,0.4727476
631,0.47271386
632,0.4725597
633,0.47250777
634,0.47239074
635,0.47229984
636,0.4722189
637,0.4721021
638,0.4720382
639,0.4719168
640,0.471848
641,0.4717378
642,0.4716542
643,0.4715585
644,0.47145995
645,0.47137555
646,0.4712689
647,0.47118604
648,0.47107977
649,0.47099167
650,0.47089025
651,0.4707929
652,0.4706971
653,0.4705922
654,0.47049683
655,0.47038916
656,0.4702896
657,0.47018224
658,0.4700756
659,0.46996984
660,0.46985763
661,0.46974993
662,0.46963575
663,0.4695234
664,0.4694086
665,0.46929094
666,0.469175
667,0.46905398
668,0.46893397
669,0.46881202
670,0.46868744
671,0.46856332
672,0.468436
673,0.46830827
674,0.468179
675,0.4680474
676,0.4679156
677,0.4677813
678,0.46764567
679,0.4675092
680,0.46737024
681,0.46723032
682,0.46708903
683,0.46694556
684,0.46680108
685,0.46665516
686,0.46650743
687,0.46635872
688,0.46620873
689,0.4660572
690,0.46590495
691,0.46575174
692,0.46559736
693,0.4654425
694,0.46528706
695,0.465131
696,0.4649747
697,0.46481833
698,0.46466175
699,0.46450526
700,0.46434912
701,0.4641933
702,0.464038
703,0.46388343
704,0.46372977
705,0.46357712
706,0.4634257
707,0.46327564
708,0.4631272
709,0.4629804
710,0.46283537
711,0.46269226
712,0.46255103
713,0.4624118
714,0.46227452
715,0.46213916
716,0.46200573
717,0.4618741
718,0.4617442
719,0.4616158
720,0.46148884
721,0.4613631
