,loss
0,0.50770265
1,0.48841223
2,0.46788833
3,0.44381472
4,0.41507718
5,0.39700878
6,0.39879942
7,0.39060956
8,0.36803567
9,0.3486716
10,0.34081665
11,0.33640298
12,0.31635493
13,0.2883587
14,0.27645385
15,0.29412425
16,0.30027136
17,0.26797014
18,0.27912527
19,0.26556328
20,0.26406395
21,0.24546848
22,0.24790455
23,0.24462464
24,0.2460442
25,0.24740396
26,0.23920909
27,0.2371005
28,0.23181687
29,0.22706604
30,0.22690773
31,0.22058007
32,0.22127745
33,0.21665366
34,0.21879262
35,0.21334718
36,0.20958753
37,0.20520408
38,0.20218548
39,0.20116106
40,0.19729799
41,0.19560803
42,0.19056349
43,0.18768889
44,0.18285835
45,0.17670725
46,0.1729679
47,0.17057458
48,0.17377207
49,0.19610126
50,0.19681191
51,0.14895561
52,0.16902187
53,0.16563083
54,0.1355381
55,0.16026148
56,0.14104716
57,0.11355221
58,0.13532425
59,0.160628
60,0.13506338
61,0.09085691
62,0.10433036
63,0.1348879
64,0.11265548
65,0.074833155
66,0.087793514
67,0.121637195
68,0.118281424
69,0.073120505
70,0.06113927
71,0.09059087
72,0.091623515
73,0.05751613
74,0.056726065
75,0.07809568
76,0.06511525
77,0.043848228
78,0.053927954
79,0.06916571
80,0.060703136
81,0.040708795
82,0.034475937
83,0.044992838
84,0.061488092
85,0.07459161
86,0.07428281
87,0.051929727
88,0.02764738
89,0.027175272
90,0.04401496
91,0.05315816
92,0.041734226
93,0.023286091
94,0.017463708
95,0.02652391
96,0.040837433
97,0.053427435
98,0.060761504
99,0.052354015
100,0.029274287
101,0.011229506
102,0.016430298
103,0.031956345
104,0.03467944
105,0.021666061
106,0.008865556
107,0.009895371
108,0.020487782
109,0.03074257
110,0.036303062
111,0.034058787
112,0.024843201
113,0.01233338
114,0.005287349
115,0.0074638613
116,0.01531519
117,0.023898518
118,0.029636648
119,0.030729331
120,0.024247158
121,0.013604073
122,0.0054014954
123,0.004200624
124,0.00873573
125,0.015860919
126,0.023204125
127,0.027274905
128,0.025905054
129,0.018215323
130,0.008847831
131,0.0034788218
132,0.004855826
133,0.010011103
134,0.013522692
