,degree,extrapolation value,relative error
0,0,143369177.4444445,42.35
1,1,235808109.02777773,5.19
2,2,254712944.64285707,2.41
3,3,261439379.5873016,5.12
4,4,243106970.94444418,2.25
5,5,220442802.249999,11.37
6,6,255044185.44446272,2.55
